Tender,Company,Procurement,Notice,Location,Closing,Value,Date
711435452 - GTMS - PIN CF,Ministry of Defence,  Future opportunity,  Open,  Any region,Approach to market date 21 June 2024,"  £1 to £7,000,000","  16 May 2024, last edited 22 May 2024"
GB-Liverpool: LW106 Invitation to tender for Proteomics and Mass Spectrometry services,Liverpool School of Tropical Medicine,  Opportunity,  Open,  North West,"  11 June 2024,  1pm","  £100,000 to £500,000",  22 May 2024
NIPA - The Provision of Speech and Language Therapy (SALT),London Borough of Wandsworth,  Opportunity,  Open,  SW18 2PU,"  24 June 2024, 12pm","  £550,000",  22 May 2024
South Walney Infants & Nursery School Phase 2 Electrical & Fabric Works,Westmorland and Furness Council,  Opportunity,  Open,  England,"  12 June 2024,  2pm","  £130,000",  22 May 2024
Testing eDNA metabarcoding as a technique for tracking  sedimentary condition - marine Natural Capital and Ecosystem Assessment Programme,Natural England,  Opportunity,  Open,  United Kingdom,"  11 June 2024,  5pm","  £8,000 to £22,000",  22 May 2024
4179.EFM.SW.24 Bartolome House - Partial Re-Roofing 2024,UNIVERSITY OF SHEFFIELD,  Opportunity,  Open,  Yorkshire and the Humber,"  21 June 2024, 12pm","  £200,000",  22 May 2024
Asbestos Management Surveys,Medway Council,  Opportunity,  Open,  England,"  14 June 2024, 12pm","  £12,000",  22 May 2024
Guildhall Winchester Fire Safety Improvements,EU SUPPLY LIMITED,  Opportunity,  Open,  SO23 9LJ,"   7 June 2024, 12pm","  £350,000","  22 April 2024, last edited 22 May 2024"
Woden Road North Nursery Concession,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DB,"  21 June 2024,  3pm","  £160,000",  22 May 2024
Procurement of Taxi Services,Southeastern Railway,  Opportunity,  Open,  South East,"   3 July 2024, 12am","  £4,500,000",  22 May 2024
Internal Decent Homes Works Including Aids and Adaptations and Communal Works,Cheltenham Borough Council,  Opportunity,  Open,  GL50 9SA,"  19 June 2024,  5pm","  £0 to £34,500,000",  22 May 2024
Chilled Water Cooling System for COMPASS (Composites at Speed and Scale) Facility,UNIVERSITY OF SHEFFIELD,  Opportunity,  Open,  S9 1ZA,"   7 June 2024, 12pm","  £80,000 to £100,000","   8 May 2024, last edited 22 May 2024"
HRIS 2024,Cambridgeshire & Peterborough Combined Authority,  Opportunity,  Open,  England,"  25 September 2024, 12pm","  £13,276,825",  22 May 2024
GB-Colchester: 0383 - Door Entry Systems,Colchester Borough Council,  Opportunity,  Open,  East of England,"  19 June 2024, 12pm","  £50,000 to £100,000",  22 May 2024
Modular Steel Access Solutions,Stockton Borough Council,  Opportunity,  Open,  England,"  19 June 2024, 12pm","  £1,500,000",  22 May 2024
GB-Colchester: 0392 - Communal Entrance Door Upgrades,Colchester Borough Council,  Opportunity,  Open,  East of England,"  19 June 2024, 12pm","  £100,000 to £500,000",  22 May 2024
"Streetlighting Scouting, Inspection and Maintenance",Tunbridge Wells Borough Council,  Opportunity,  Open,  England,"  19 June 2024, 12pm","  £160,000",  22 May 2024
Qualitative Impact Assessment,United Kingdom Atomic Energy Authority,  Opportunity,  Open,  Any region,"   5 June 2024, 12pm","  £30,000 to £50,000",  22 May 2024
Provision of Alcoholic and Non-alcoholic beverages to The Royal Hospital Chelsea,ROYAL HOSPITAL CHELSEA APPEAL LIMITED,  Opportunity,  Open,  SW3 4SR,"  21 June 2024, 10am","  £280,000",  22 May 2024
AUDIT SERVICES FOR HEALTH (SBS10517),N H S Shared Business Services,  Early engagement,  Open,  United Kingdom,   1 July 2024,Publication date 22 May 2024,None
Public Conveniences Upgrade Project 2024,Forest of Dean District Council,  Opportunity,  Open,  GL16 8HG,"  21 June 2024,  5pm","  £290,000 to £310,000",  22 May 2024
GovPrint Cloud Prior Information Notice,GOVERNMENT PROPERTY AGENCY,  Early engagement,  Open,  United Kingdom,  16 June 2024,"Publication date  8 May 2024, last edited 22 May 2024",None
CA13984 - Learning Academy Partnership South West Asbestos Monitoring Services Contract,Learning Academy Partnership South West,  Opportunity,  Open,  TQ12 3SB,"  28 May 2024,  1pm",  £0,"  25 April 2024, last edited 22 May 2024"
St Neot Community Shop and Cafe,St Neot Parish Council,  Opportunity,  Open,  South West,"  18 June 2024,  5pm","  £100,000 to £130,000","  13 May 2024, last edited 22 May 2024"
SME support for SEPA PPC application,CPI (Centre for Process Innovation),  Opportunity,  Open,  TS104RF,"   3 June 2024, 12pm","  £50,000 to £179,000","  22 May 2024, last edited 22 May 2024"
Home Care Services,Cornwall Council,  Opportunity,  Open,  England,"  31 May 2024, 12pm","  £200,000,000 to £232,104,000","  26 February 2024, last edited 22 May 2024"
RFI0041 RN Modular/Containerised MW Concepts,Ministry of Defence,  Early engagement,  Open,  Any region,  12 June 2024,Publication date 22 May 2024,None
Local Plan Review Climate Change Study - A1136,Swale Borough Council,  Opportunity,  Open,  England,"   5 June 2024,  4:30pm","  £40,000","  17 May 2024, last edited 22 May 2024"
CBC-1676-LV-KW Langford Meadows Boundary Fence,Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"  30 May 2024,  6am","  £14,495","  21 May 2024, last edited 22 May 2024"
Bin Enclosures,Wandsworth Borough Council,  Opportunity,  Open,  SW18 2PU,"  24 June 2024, 12pm","  £488,000",  22 May 2024
"DUD - Drain Jetting, CCTV Surveys, Drainage Repairs, Drain Lining and Gutter Vacuuming 2024",Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"  10 June 2024, 12pm","  £600,000 to £700,000",  22 May 2024
Staff Shuttle Bus Service Tender for Oxford University Hospitals NHS Foundation,Oxford University Hospitals NHS Trust,  Opportunity,  Open,  OX4 2GQ,"  17 June 2024, 12pm","  £200,000",  22 May 2024
GB-Liverpool: Brand Evolution Project,The ACC Liverpool Group Limited,  Opportunity,  Open,  North West,"  29 May 2024, 12pm","  £25,000 to £50,000","  29 April 2024, last edited 22 May 2024"
Creation of changing rooms at Westhill Recreation Ground,WESTFIELD PARISH COUNCIL,  Opportunity,  Open,  BA3 3TE,"  28 June 2024,  5pm","  £75,000 to £200,000",  22 May 2024
Heart of Yorkshire Education Group - Adult Skills Funded Provision,Heart of Yorkshire Education Group,  Opportunity,  Open,  Yorkshire and the Humber,"   2 July 2024, 12pm","  £1,000,000",  22 May 2024
Pneumococcal vaccine for adults and at risk groups (2025),UK Health Security Agency,  Opportunity,  Open,  United Kingdom,"  27 June 2024,  1pm",  £0,  22 May 2024
2024 May Local Bus Services - Batch 2,Cambridgeshire & Peterborough Combined Authority,  Opportunity,  Open,  England,"  21 June 2024, 12pm",  £0,  22 May 2024
Collection and Disposal of Tankered Liquid Waste - HDG/2024/682,Stoke-on-Trent City Council,  Opportunity,  Open,  England,"  28 June 2024, 12pm","  £97,375","  23 April 2024, last edited 22 May 2024"
HO3 Body Armour,Metropolitan Police Service,  Future opportunity,  Open,  United Kingdom,Approach to market date  2 September 2024,"  £400,000",  22 May 2024
Invitation to Tender,HEART OF YORKSHIRE EDUCATION GROUP LTD,  Opportunity,  Open,  WF10 4UA,"   7 June 2024, 12pm","  £4,000,000","  26 April 2024, last edited 22 May 2024"
Ascent Homes- Hadston- Windows & External Doors,Advance Northumberland Limited,  Opportunity,  Open,  England,"  21 June 2024, 11:30pm","  £250,000",  22 May 2024
