Tender,Company,Procurement,Notice,Location,Closing,Value,Date
711435452 - Gtms - Pin Cf,Ministry Of Defence,Future Opportunity,Open,Any Region,,  £1 to £7000000,
Gb-Liverpool: Lw106 Invitation To Tender For Proteomics And Mass Spectrometry Services,Liverpool School Of Tropical Medicine,Opportunity,Open,North West,2024-06-11 13:00:00,  £100000 to £500000,2024-05-22
Nipa - The Provision Of Speech And Language Therapy (Salt),London Borough Of Wandsworth,Opportunity,Open,Sw18 2Pu,2024-06-24 12:00:00,  £550000,2024-05-22
South Walney Infants & Nursery School Phase 2 Electrical & Fabric Works,Westmorland And Furness Council,Opportunity,Open,England,2024-06-12 14:00:00,  £130000,2024-05-22
Testing Edna Metabarcoding As A Technique For Tracking  Sedimentary Condition - Marine Natural Capital And Ecosystem Assessment Programme,Natural England,Opportunity,Open,United Kingdom,2024-06-11 17:00:00,  £8000 to £22000,2024-05-22
4179.Efm.Sw.24 Bartolome House - Partial Re-Roofing 2024,University Of Sheffield,Opportunity,Open,Yorkshire And The Humber,2024-06-21 12:00:00,  £200000,2024-05-22
Asbestos Management Surveys,Medway Council,Opportunity,Open,England,2024-06-14 12:00:00,  £12000,2024-05-22
Guildhall Winchester Fire Safety Improvements,Eu Supply Limited,Opportunity,Open,So23 9Lj,2024-06-07 12:00:00,  £350000,
Woden Road North Nursery Concession,Sandwell Metropolitan Borough Council,Opportunity,Open,B69 3Db,2024-06-21 15:00:00,  £160000,2024-05-22
Procurement Of Taxi Services,Southeastern Railway,Opportunity,Open,South East,2024-07-03 00:00:00,  £4500000,2024-05-22
Internal Decent Homes Works Including Aids And Adaptations And Communal Works,Cheltenham Borough Council,Opportunity,Open,Gl50 9Sa,2024-06-19 17:00:00,  £0 to £34500000,2024-05-22
Chilled Water Cooling System For Compass (Composites At Speed And Scale) Facility,University Of Sheffield,Opportunity,Open,S9 1Za,2024-06-07 12:00:00,  £80000 to £100000,
Hris 2024,Cambridgeshire & Peterborough Combined Authority,Opportunity,Open,England,2024-09-25 12:00:00,  £13276825,2024-05-22
Gb-Colchester: 0383 - Door Entry Systems,Colchester Borough Council,Opportunity,Open,East Of England,2024-06-19 12:00:00,  £50000 to £100000,2024-05-22
Modular Steel Access Solutions,Stockton Borough Council,Opportunity,Open,England,2024-06-19 12:00:00,  £1500000,2024-05-22
Gb-Colchester: 0392 - Communal Entrance Door Upgrades,Colchester Borough Council,Opportunity,Open,East Of England,2024-06-19 12:00:00,  £100000 to £500000,2024-05-22
"Streetlighting Scouting, Inspection And Maintenance",Tunbridge Wells Borough Council,Opportunity,Open,England,2024-06-19 12:00:00,  £160000,2024-05-22
Qualitative Impact Assessment,United Kingdom Atomic Energy Authority,Opportunity,Open,Any Region,2024-06-05 12:00:00,  £30000 to £50000,2024-05-22
